Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,61445,-,-,-,31.33,-106.86,-6,1210,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.1
Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,19,0,0,0,-5,0.33,2,75.15,-1.2,880,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,19,30,0,0,-5,0.33,1.9,77.96,-1.7,880,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,20,0,0,0,-5.4,0.33,1.7,79.24,-2.3,880,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,20,30,0,0,-5.4,0.33,1.5,81.72,-2.7,881,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,21,0,0,0,-5.7,0.33,1.3,82.63,-3.2,881,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,21,30,0,0,-5.7,0.33,1.3,83.87,-3.4,881,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,22,0,0,0,-6,0.33,1.2,83.27,-3.6,881,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,22,30,0,0,-6,0.33,1.3,84.52,-3.8,881,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,23,0,0,0,-6.3,0.33,1.3,83.67,-3.9,881,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,23,30,0,0,-6.3,0.33,1.4,83.67,-3.9,881,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,0,0,0,0,-6.4,0.33,1.5,83.24,-4,881,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,0,30,0,0,-6.4,0.33,1.6,83.33,-4,882,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,1,0,0,0,-6.5,0.33,1.8,82.06,-3.9,882,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,1,30,0,0,-6.5,0.33,1.8,82.06,-3.9,882,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,2,0,0,0,-6.6,0.33,1.8,81.76,-3.9,882,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,2,30,0,0,-6.6,0.33,1.7,81.76,-3.9,882,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
